,track,artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre,duration_ms,release_date,id,artist_id,track_id,popularity,analysis_url,time_signature,track_href,type,uri
2194,Venice Bitch,Lana Del Rey,0.916,0.388,0.296,0.267,9,0.105,-13.04,0,0.0301,78.785,0.294,"['dance pop', 'pop']",576346,2018-09-18,7AluhhfZ0AO0Zw8MoUstzN,00FQb4jTyendYWaN8pK0wa,7AluhhfZ0AO0Zw8MoUstzN,63,https://api.spotify.com/v1/audio-analysis/7AluhhfZ0AO0Zw8MoUstzN,4,https://api.spotify.com/v1/tracks/7AluhhfZ0AO0Zw8MoUstzN,audio_features,spotify:track:7AluhhfZ0AO0Zw8MoUstzN
2195,La Mentira,Brytiago,0.546,0.917,0.507,0.0001,1,0.223,-4.234,1,0.148,94.005,0.534,"['latin', 'reggaeton flow', 'trap latino', 'tropical']",197872,2018-09-28,59xZZeF6Ve0ZfCd7AcFvXr,00XhexlJEXQstHimpZN910,59xZZeF6Ve0ZfCd7AcFvXr,66,https://api.spotify.com/v1/audio-analysis/59xZZeF6Ve0ZfCd7AcFvXr,4,https://api.spotify.com/v1/tracks/59xZZeF6Ve0ZfCd7AcFvXr,audio_features,spotify:track:59xZZeF6Ve0ZfCd7AcFvXr
2196,Echo (feat. Tauren Wells),Elevation Worship,0.0864,0.638,0.842,0.0,2,0.624,-6.225,1,0.0392,103.965,0.542,"['ccm', 'christian music', 'world worship', 'worship']",236736,2018-08-31,1MMk1Fw3vdYDRYj5cilHtt,3YCKuqpv9nCsIhJ2v8SMix,1MMk1Fw3vdYDRYj5cilHtt,57,https://api.spotify.com/v1/audio-analysis/1MMk1Fw3vdYDRYj5cilHtt,4,https://api.spotify.com/v1/tracks/1MMk1Fw3vdYDRYj5cilHtt,audio_features,spotify:track:1MMk1Fw3vdYDRYj5cilHtt
2197,Kings & Queens,Mat Kearney,0.336,0.621,0.61,0.0,5,0.157,-8.455,1,0.0454,139.001,0.424,"['acoustic pop', 'folk-pop', 'indiecoustica', 'modern rock', 'neo mellow', 'pop rock']",189987,2018-05-04,0vy1K9FhCK8woHW7MKEcBG,2NQEwAVHBNcI0tGMLlWwF1,0vy1K9FhCK8woHW7MKEcBG,56,https://api.spotify.com/v1/audio-analysis/0vy1K9FhCK8woHW7MKEcBG,4,https://api.spotify.com/v1/tracks/0vy1K9FhCK8woHW7MKEcBG,audio_features,spotify:track:0vy1K9FhCK8woHW7MKEcBG
2198,Outskirts of Heaven,Craig Campbell,0.333,0.497,0.434,3.11e-06,0,0.108,-5.73,1,0.0296,115.749,0.266,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']",244267,2018-06-08,6gcNSi6b9gvDBjYO059lrF,7tkwiWhGKSuQV8LwPWceWN,6gcNSi6b9gvDBjYO059lrF,55,https://api.spotify.com/v1/audio-analysis/6gcNSi6b9gvDBjYO059lrF,3,https://api.spotify.com/v1/tracks/6gcNSi6b9gvDBjYO059lrF,audio_features,spotify:track:6gcNSi6b9gvDBjYO059lrF
2199,Lower Level (feat. Kodak Black),Moneybagg Yo,0.0922,0.854,0.656,0.0,1,0.231,-5.235,0,0.192,120.018,0.207,"['rap', 'southern hip hop', 'trap music']",257596,2018-11-02,7Kw0NVWCd2BRfWNxTDSc6W,3tJoFztHeIJkJWMrx0td2f,7Kw0NVWCd2BRfWNxTDSc6W,55,https://api.spotify.com/v1/audio-analysis/7Kw0NVWCd2BRfWNxTDSc6W,4,https://api.spotify.com/v1/tracks/7Kw0NVWCd2BRfWNxTDSc6W,audio_features,spotify:track:7Kw0NVWCd2BRfWNxTDSc6W
2200,Don't Be Scared,Sophie Meiers,0.776,0.687,0.263,0.00013,11,0.102,-8.72,1,0.0435,120.1,0.21,"['bedroom soul', 'indie r&b', 'lo-fi beats']",184000,2018-08-19,0tSXGhlgB73267m4AExpJL,4Qz5J3GBpmR1LcPgqFbzlW,0tSXGhlgB73267m4AExpJL,58,https://api.spotify.com/v1/audio-analysis/0tSXGhlgB73267m4AExpJL,4,https://api.spotify.com/v1/tracks/0tSXGhlgB73267m4AExpJL,audio_features,spotify:track:0tSXGhlgB73267m4AExpJL
2201,Peligrosa,J Balvin,0.0545,0.769,0.759,0.000628,6,0.101,-4.393,0,0.051,105.993,0.68,"['latin', 'reggaeton']",202347,2018-05-25,3Nkqp3NSGWMXVVO08zGpN7,1vyhD5VmyZ7KMfW5gqLgo5,3Nkqp3NSGWMXVVO08zGpN7,66,https://api.spotify.com/v1/audio-analysis/3Nkqp3NSGWMXVVO08zGpN7,4,https://api.spotify.com/v1/tracks/3Nkqp3NSGWMXVVO08zGpN7,audio_features,spotify:track:3Nkqp3NSGWMXVVO08zGpN7
2202,HANN (Alone),(G)I-DLE,0.059,0.709,0.718,0.0,6,0.167,-3.315,0,0.0312,104.971,0.24,"['k-pop', 'k-pop girl group']",205820,2018-08-14,7gr57cYekMWriyJYbT7oZ4,2AfmfGFbe0A0WsTYm0SDTx,7gr57cYekMWriyJYbT7oZ4,65,https://api.spotify.com/v1/audio-analysis/7gr57cYekMWriyJYbT7oZ4,4,https://api.spotify.com/v1/tracks/7gr57cYekMWriyJYbT7oZ4,audio_features,spotify:track:7gr57cYekMWriyJYbT7oZ4
2203,the 1,blackbear,0.0583,0.571,0.531,0.0,4,0.122,-6.137,0,0.0385,108.075,0.439,['pop'],206875,2018-08-23,5RvGALtC711pdju6fnZ7ig,2cFrymmkijnjDg9SS92EPM,5RvGALtC711pdju6fnZ7ig,58,https://api.spotify.com/v1/audio-analysis/5RvGALtC711pdju6fnZ7ig,4,https://api.spotify.com/v1/tracks/5RvGALtC711pdju6fnZ7ig,audio_features,spotify:track:5RvGALtC711pdju6fnZ7ig
2204,Mocca - Remix,Lalo Ebratt,0.213,0.732,0.758,0.0,11,0.388,-1.694,1,0.189,98.007,0.78,"['colombian hip hop', 'latin', 'reggaeton flow']",202876,2018-10-05,1usoXi4f0BnMART4uActEA,1GAymyGBvB4gQy5Z5LZ1Wj,1usoXi4f0BnMART4uActEA,68,https://api.spotify.com/v1/audio-analysis/1usoXi4f0BnMART4uActEA,4,https://api.spotify.com/v1/tracks/1usoXi4f0BnMART4uActEA,audio_features,spotify:track:1usoXi4f0BnMART4uActEA
2205,For the Love of Love,Novo Talos,0.995,0.321,0.0258,0.915,1,0.137,-27.129,1,0.0454,67.535,0.255,"['background music', 'compositional ambient', 'focus']",143251,2018-09-24,7KWhxUrK9ofPTn3ItWceR5,09D82jKcSb3omGk0kInAea,7KWhxUrK9ofPTn3ItWceR5,62,https://api.spotify.com/v1/audio-analysis/7KWhxUrK9ofPTn3ItWceR5,3,https://api.spotify.com/v1/tracks/7KWhxUrK9ofPTn3ItWceR5,audio_features,spotify:track:7KWhxUrK9ofPTn3ItWceR5
2206,Do It All The Time,I DONT KNOW HOW BUT THEY FOUND ME,0.106,0.795,0.597,0.0,11,0.113,-6.395,0,0.0327,110.014,0.849,"['modern rock', 'pop punk']",167803,2018-08-24,14ny3vlL25p6Vix2Sb8k1b,0Raaw7kr1Vzat4ZvHzjsJR,14ny3vlL25p6Vix2Sb8k1b,59,https://api.spotify.com/v1/audio-analysis/14ny3vlL25p6Vix2Sb8k1b,4,https://api.spotify.com/v1/tracks/14ny3vlL25p6Vix2Sb8k1b,audio_features,spotify:track:14ny3vlL25p6Vix2Sb8k1b
2207,Tourniquet,Breaking Benjamin,1.5e-05,0.179,0.953,0.00109,5,0.363,-2.686,1,0.202,153.955,0.337,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'rap rock']",249467,2018-04-13,5xgXG5BfCNO6KJrQOHKprg,5BtHciL0e0zOP7prIHn3pP,5xgXG5BfCNO6KJrQOHKprg,57,https://api.spotify.com/v1/audio-analysis/5xgXG5BfCNO6KJrQOHKprg,5,https://api.spotify.com/v1/tracks/5xgXG5BfCNO6KJrQOHKprg,audio_features,spotify:track:5xgXG5BfCNO6KJrQOHKprg
2208,Home (KOD),Playboi Carti,0.319,0.722,0.686,0.0,7,0.352,-6.178,0,0.24,77.015,0.435,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music', 'underground hip hop']",162133,2018-05-11,5wPyd3IQAZft1vmxoIqGrU,699OTQXzgjhIYAHMy9RyPD,5wPyd3IQAZft1vmxoIqGrU,56,https://api.spotify.com/v1/audio-analysis/5wPyd3IQAZft1vmxoIqGrU,4,https://api.spotify.com/v1/tracks/5wPyd3IQAZft1vmxoIqGrU,audio_features,spotify:track:5wPyd3IQAZft1vmxoIqGrU
2209,Fue un Error Amarte,Cornelio Vega y su Dinastia,0.526,0.591,0.888,0.0,2,0.296,-1.321,1,0.118,144.885,0.86,['regional mexican pop'],164595,2018-06-22,4OM80av4JHAVE1vkDJCMVI,3xNhaqwvNIAP57dWgMTP1d,4OM80av4JHAVE1vkDJCMVI,62,https://api.spotify.com/v1/audio-analysis/4OM80av4JHAVE1vkDJCMVI,4,https://api.spotify.com/v1/tracks/4OM80av4JHAVE1vkDJCMVI,audio_features,spotify:track:4OM80av4JHAVE1vkDJCMVI
2210,Build My Life,Pat Barrett,0.112,0.431,0.591,0.0,8,0.129,-6.198,1,0.0298,144.012,0.274,"['anthem worship', 'ccm', 'world worship']",244893,2018-07-20,2UeOsbOZ3h1QxUX2Jfw42j,0289SkqAn0iOohwm0pIHv3,2UeOsbOZ3h1QxUX2Jfw42j,56,https://api.spotify.com/v1/audio-analysis/2UeOsbOZ3h1QxUX2Jfw42j,4,https://api.spotify.com/v1/tracks/2UeOsbOZ3h1QxUX2Jfw42j,audio_features,spotify:track:2UeOsbOZ3h1QxUX2Jfw42j
2211,Moving On,Global Dan,0.354,0.464,0.545,3.28e-05,1,0.179,-7.684,1,0.24,100.349,0.401,"['emo rap', 'underground hip hop', 'vapor trap']",207700,2018-06-08,7G8UwvJwgslJV178akfeIf,1lzugG0lqNh9nP6Fp2zG3c,7G8UwvJwgslJV178akfeIf,56,https://api.spotify.com/v1/audio-analysis/7G8UwvJwgslJV178akfeIf,5,https://api.spotify.com/v1/tracks/7G8UwvJwgslJV178akfeIf,audio_features,spotify:track:7G8UwvJwgslJV178akfeIf
2212,Been There Done That (feat. Tove Styrke),NOTD,0.00954,0.496,0.793,0.0,5,0.325,-6.122,1,0.297,191.928,0.62,"['australian pop', 'dance pop', 'edm', 'electropop', 'pop', 'pop edm', 'post-teen pop', 'tropical house']",197113,2018-08-24,0m0hFyrAqGKaVJ7D24Jozg,5jAMCwdNHWr7JThxtMuEyy,0m0hFyrAqGKaVJ7D24Jozg,62,https://api.spotify.com/v1/audio-analysis/0m0hFyrAqGKaVJ7D24Jozg,4,https://api.spotify.com/v1/tracks/0m0hFyrAqGKaVJ7D24Jozg,audio_features,spotify:track:0m0hFyrAqGKaVJ7D24Jozg
2213,Stan,6LACK,0.82,0.447,0.341,0.000249,8,0.127,-9.413,1,0.0336,109.091,0.174,"['alternative r&b', 'atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'trap music']",303750,2018-09-14,1mggAh6xgnKUT6ukw3AU9A,4IVAbR2w4JJNJDDRFP3E83,1mggAh6xgnKUT6ukw3AU9A,57,https://api.spotify.com/v1/audio-analysis/1mggAh6xgnKUT6ukw3AU9A,4,https://api.spotify.com/v1/tracks/1mggAh6xgnKUT6ukw3AU9A,audio_features,spotify:track:1mggAh6xgnKUT6ukw3AU9A
2214,Better Now,Blanks,0.437,0.744,0.906,2.29e-06,10,0.0847,-7.027,1,0.0327,120.019,0.902,[],176000,2018-08-14,1qlgw9MTX3xLaM8YH2OyAv,7geo7fjTQyp13Wf2ALTZCF,1qlgw9MTX3xLaM8YH2OyAv,58,https://api.spotify.com/v1/audio-analysis/1qlgw9MTX3xLaM8YH2OyAv,4,https://api.spotify.com/v1/tracks/1qlgw9MTX3xLaM8YH2OyAv,audio_features,spotify:track:1qlgw9MTX3xLaM8YH2OyAv
2215,666 (feat. YoungBoy Never Broke Again),YG,0.0101,0.866,0.686,0.0,2,0.0895,-7.52,1,0.285,82.499,0.504,"['cali rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",279320,2018-08-03,3R2fdTDtARC4xwKSG0rNWE,0A0FS04o6zMoto8OKPsDwY,3R2fdTDtARC4xwKSG0rNWE,55,https://api.spotify.com/v1/audio-analysis/3R2fdTDtARC4xwKSG0rNWE,4,https://api.spotify.com/v1/tracks/3R2fdTDtARC4xwKSG0rNWE,audio_features,spotify:track:3R2fdTDtARC4xwKSG0rNWE
2216,UKA UKA,Trippie Redd,0.135,0.722,0.868,0.0,11,0.101,-5.34,0,0.16,87.011,0.671,"['rap', 'trap music']",164335,2018-08-10,5FTrzXtDMz3adIbLmVShk4,6Xgp2XMz1fhVYe7i6yNAax,5FTrzXtDMz3adIbLmVShk4,56,https://api.spotify.com/v1/audio-analysis/5FTrzXtDMz3adIbLmVShk4,4,https://api.spotify.com/v1/tracks/5FTrzXtDMz3adIbLmVShk4,audio_features,spotify:track:5FTrzXtDMz3adIbLmVShk4
2217,Baby Come Back to Me,Kane Brown,0.0193,0.538,0.812,4.33e-06,7,0.11,-5.776,1,0.0343,81.062,0.484,"['contemporary country', 'country road']",226693,2019-07-12,0lmxrWcpOkDfYknYWBJviF,3oSJ7TBVCWMDMiYjXNiCKE,0lmxrWcpOkDfYknYWBJviF,46,https://api.spotify.com/v1/audio-analysis/0lmxrWcpOkDfYknYWBJviF,4,https://api.spotify.com/v1/tracks/0lmxrWcpOkDfYknYWBJviF,audio_features,spotify:track:0lmxrWcpOkDfYknYWBJviF
2218,Inside feat. Trey Songz,Jacquees,0.0163,0.71,0.578,0.0,11,0.246,-5.84,0,0.0604,125.969,0.512,"['atl hip hop', 'deep pop r&b', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'urban contemporary']",248467,2018-09-07,1yIEiamPoVQGpFsYaImNFY,4tMm1dU6Gn04VAZ9ClHcIZ,1yIEiamPoVQGpFsYaImNFY,57,https://api.spotify.com/v1/audio-analysis/1yIEiamPoVQGpFsYaImNFY,4,https://api.spotify.com/v1/tracks/1yIEiamPoVQGpFsYaImNFY,audio_features,spotify:track:1yIEiamPoVQGpFsYaImNFY
2219,Walls,The Lumineers,0.692,0.609,0.44,0.0,10,0.0688,-6.32,1,0.0265,108.427,0.43,"['folk-pop', 'indie folk', 'modern rock', 'stomp and holler']",199119,2018-10-02,3UpEsDQyd6eyRQzgQdNyGo,16oZKvXb6WkQlVAjwo2Wbg,3UpEsDQyd6eyRQzgQdNyGo,55,https://api.spotify.com/v1/audio-analysis/3UpEsDQyd6eyRQzgQdNyGo,4,https://api.spotify.com/v1/tracks/3UpEsDQyd6eyRQzgQdNyGo,audio_features,spotify:track:3UpEsDQyd6eyRQzgQdNyGo
2220,Stand In Your Love (Radio Version),Bethel Music,0.112,0.461,0.802,0.0,0,0.116,-4.448,1,0.0325,144.518,0.342,"['ambient worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']",221333,2018-08-06,6HRU0CPcG0q3Dq8XVBWacL,26T4yOaOoFJvUvxR87Y9HO,6HRU0CPcG0q3Dq8XVBWacL,56,https://api.spotify.com/v1/audio-analysis/6HRU0CPcG0q3Dq8XVBWacL,4,https://api.spotify.com/v1/tracks/6HRU0CPcG0q3Dq8XVBWacL,audio_features,spotify:track:6HRU0CPcG0q3Dq8XVBWacL
2221,Growing Pains,Alessia Cara,0.0822,0.353,0.755,0.0,1,0.39,-6.276,0,0.733,191.153,0.437,"['canadian contemporary r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b']",193680,2018-06-15,003eoIwxETJujVWmNFMoZy,2wUjUUtkb5lvLKcGKsKqsR,003eoIwxETJujVWmNFMoZy,60,https://api.spotify.com/v1/audio-analysis/003eoIwxETJujVWmNFMoZy,4,https://api.spotify.com/v1/tracks/003eoIwxETJujVWmNFMoZy,audio_features,spotify:track:003eoIwxETJujVWmNFMoZy
2222,Now That You're Gone,The Raconteurs,0.261,0.506,0.329,0.158,7,0.0682,-13.313,1,0.064,200.133,0.503,"['alternative rock', 'garage rock', 'indie rock', 'modern blues rock', 'modern rock', 'rock']",236663,2018-12-19,0t3BGP2os4LjXL9TVQn6O0,4wo1267SJuUfHgasdlfNfc,0t3BGP2os4LjXL9TVQn6O0,59,https://api.spotify.com/v1/audio-analysis/0t3BGP2os4LjXL9TVQn6O0,3,https://api.spotify.com/v1/tracks/0t3BGP2os4LjXL9TVQn6O0,audio_features,spotify:track:0t3BGP2os4LjXL9TVQn6O0
2223,Open Safe,Lil Wayne,0.00705,0.929,0.598,0.0,1,0.0549,-5.373,1,0.156,96.012,0.501,"['hip hop', 'new orleans rap', 'pop', 'pop rap', 'rap', 'trap music']",223939,2018-09-28,7EgI0dCaQuHFe3OTj5EpWI,55Aa2cqylxrFIXC767Z865,7EgI0dCaQuHFe3OTj5EpWI,56,https://api.spotify.com/v1/audio-analysis/7EgI0dCaQuHFe3OTj5EpWI,4,https://api.spotify.com/v1/tracks/7EgI0dCaQuHFe3OTj5EpWI,audio_features,spotify:track:7EgI0dCaQuHFe3OTj5EpWI
2224,Tu Olor,Ozuna,0.194,0.882,0.802,1.62e-06,11,0.0737,-4.298,0,0.048,97.018,0.67,"['reggaeton', 'trap latino']",193893,2018-08-24,48aHJHJyNBcuYIFGMrT5cQ,1i8SpTcr7yvPOmcqrbnVXY,48aHJHJyNBcuYIFGMrT5cQ,61,https://api.spotify.com/v1/audio-analysis/48aHJHJyNBcuYIFGMrT5cQ,4,https://api.spotify.com/v1/tracks/48aHJHJyNBcuYIFGMrT5cQ,audio_features,spotify:track:48aHJHJyNBcuYIFGMrT5cQ
2225,Maybe It's Time,Bradley Cooper,0.798,0.699,0.282,1.23e-06,7,0.0981,-7.65,1,0.0374,79.776,0.359,['hollywood'],159293,2018-10-05,4z2XPrpHz1raJibarWFY7Z,4VIvfOurcf0vuLRxLkGnIG,4z2XPrpHz1raJibarWFY7Z,63,https://api.spotify.com/v1/audio-analysis/4z2XPrpHz1raJibarWFY7Z,4,https://api.spotify.com/v1/tracks/4z2XPrpHz1raJibarWFY7Z,audio_features,spotify:track:4z2XPrpHz1raJibarWFY7Z
2226,Ghost,Badflower,0.0106,0.505,0.848,0.0,11,0.18,-5.173,0,0.0575,140.055,0.282,['modern alternative rock'],259428,2018-09-28,1bnswV3i4J3u9QVcdVMd39,3T55D3LMiygE9eSKFpiAye,1bnswV3i4J3u9QVcdVMd39,56,https://api.spotify.com/v1/audio-analysis/1bnswV3i4J3u9QVcdVMd39,4,https://api.spotify.com/v1/tracks/1bnswV3i4J3u9QVcdVMd39,audio_features,spotify:track:1bnswV3i4J3u9QVcdVMd39
2227,Everybody Dies,Logic,0.134,0.777,0.923,1.34e-06,2,0.372,-3.904,1,0.177,94.009,0.822,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",250213,2018-09-28,2Egoo3acImq7hV6TfYV90E,4xRYI6VqpkE3UwrDrAZL8L,2Egoo3acImq7hV6TfYV90E,58,https://api.spotify.com/v1/audio-analysis/2Egoo3acImq7hV6TfYV90E,4,https://api.spotify.com/v1/tracks/2Egoo3acImq7hV6TfYV90E,audio_features,spotify:track:2Egoo3acImq7hV6TfYV90E
2228,Breathe,Lauv,0.728,0.32,0.393,0.0,4,0.341,-8.08,1,0.039,136.746,0.193,"['dance pop', 'pop', 'post-teen pop']",237810,2018-05-31,373q2bp4ZvyJ9kFZcpJSMs,5JZ7CnR6gTvEMKX4g70Amv,373q2bp4ZvyJ9kFZcpJSMs,62,https://api.spotify.com/v1/audio-analysis/373q2bp4ZvyJ9kFZcpJSMs,4,https://api.spotify.com/v1/tracks/373q2bp4ZvyJ9kFZcpJSMs,audio_features,spotify:track:373q2bp4ZvyJ9kFZcpJSMs
2229,Shoot Me Straight - Radio Edit,Brothers Osborne,0.00766,0.636,0.784,1.07e-05,2,0.0806,-6.01,1,0.0454,96.996,0.613,"['contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']",207053,2018-01-19,0ya80Qhw7hgeJp2L6zvxcj,39NR3AUhpbbqKM33vWn2fp,0ya80Qhw7hgeJp2L6zvxcj,57,https://api.spotify.com/v1/audio-analysis/0ya80Qhw7hgeJp2L6zvxcj,4,https://api.spotify.com/v1/tracks/0ya80Qhw7hgeJp2L6zvxcj,audio_features,spotify:track:0ya80Qhw7hgeJp2L6zvxcj
2230,Hope World,j-hope,0.0138,0.706,0.896,0.0,1,0.595,-4.456,1,0.16,117.038,0.767,"['k-hop', 'k-pop']",204931,2018-03-02,3xngVLz4NYEshyX3aRRXgf,0b1sIQumIAsNbqAoIClSpy,3xngVLz4NYEshyX3aRRXgf,62,https://api.spotify.com/v1/audio-analysis/3xngVLz4NYEshyX3aRRXgf,4,https://api.spotify.com/v1/tracks/3xngVLz4NYEshyX3aRRXgf,audio_features,spotify:track:3xngVLz4NYEshyX3aRRXgf
2231,Jenny Jenkins,Mt. Joy,0.248,0.729,0.406,0.0,8,0.114,-9.388,1,0.0533,127.954,0.177,"['deep new americana', 'folk-pop', 'indie folk', 'indie pop', 'modern rock', 'new americana', 'stomp and holler']",199387,2018-01-17,2d1fFtfsPOqCoTURgBKV7N,69tiO1fG8VWduDl3ji2qhI,2d1fFtfsPOqCoTURgBKV7N,57,https://api.spotify.com/v1/audio-analysis/2d1fFtfsPOqCoTURgBKV7N,4,https://api.spotify.com/v1/tracks/2d1fFtfsPOqCoTURgBKV7N,audio_features,spotify:track:2d1fFtfsPOqCoTURgBKV7N
2232,HOLD ME TIGHT OR DON’T,Fall Out Boy,0.00699,0.582,0.925,2.9e-06,6,0.108,-4.366,0,0.0523,95.987,0.788,"['emo', 'modern rock', 'pop punk']",210360,2018-01-19,0Q9vbV7G2Q6lts13nY9YGP,4UXqAaa6dQYAk18Lv7PEgX,0Q9vbV7G2Q6lts13nY9YGP,60,https://api.spotify.com/v1/audio-analysis/0Q9vbV7G2Q6lts13nY9YGP,4,https://api.spotify.com/v1/tracks/0Q9vbV7G2Q6lts13nY9YGP,audio_features,spotify:track:0Q9vbV7G2Q6lts13nY9YGP
2233,N***a Sh*t (Swoosh),SAINt JHN,0.00531,0.732,0.712,2.04e-06,1,0.135,-4.751,1,0.091,153.967,0.554,"['rap', 'trap music', 'trap soul', 'underground hip hop']",187035,2018-03-30,1yKj60nSSQGVuZMhj0huDa,0H39MdGGX6dbnnQPt6NQkZ,1yKj60nSSQGVuZMhj0huDa,59,https://api.spotify.com/v1/audio-analysis/1yKj60nSSQGVuZMhj0huDa,4,https://api.spotify.com/v1/tracks/1yKj60nSSQGVuZMhj0huDa,audio_features,spotify:track:1yKj60nSSQGVuZMhj0huDa
2234,PettyWap,Young M.A,0.802,0.735,0.715,0.00196,6,0.196,-3.777,0,0.113,83.028,0.598,"['lgbtq+ hip hop', 'nyc rap', 'rap', 'trap music']",173889,2018-07-03,113O9yo2Ayl4OsKfBdzbVh,7LvoDJUNGnOrPdGRzVtOJ9,113O9yo2Ayl4OsKfBdzbVh,57,https://api.spotify.com/v1/audio-analysis/113O9yo2Ayl4OsKfBdzbVh,4,https://api.spotify.com/v1/tracks/113O9yo2Ayl4OsKfBdzbVh,audio_features,spotify:track:113O9yo2Ayl4OsKfBdzbVh
2235,The Garden's Light,Trevor Kowalski,0.963,0.354,0.015,0.894,5,0.118,-33.438,1,0.039,66.738,0.0899,"['background music', 'focus']",193792,2018-09-28,72cj11O7lJBQiLu3dXzKLV,4vPiZNfnHqzN52FOn38BEv,72cj11O7lJBQiLu3dXzKLV,62,https://api.spotify.com/v1/audio-analysis/72cj11O7lJBQiLu3dXzKLV,4,https://api.spotify.com/v1/tracks/72cj11O7lJBQiLu3dXzKLV,audio_features,spotify:track:72cj11O7lJBQiLu3dXzKLV
2236,Warm It Up,Logic,0.257,0.835,0.641,0.0,10,0.0937,-6.37,0,0.143,95.98,0.412,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",240093,2018-03-09,3W4JFzOQdo5J2Wgt9DFg24,4xRYI6VqpkE3UwrDrAZL8L,3W4JFzOQdo5J2Wgt9DFg24,58,https://api.spotify.com/v1/audio-analysis/3W4JFzOQdo5J2Wgt9DFg24,4,https://api.spotify.com/v1/tracks/3W4JFzOQdo5J2Wgt9DFg24,audio_features,spotify:track:3W4JFzOQdo5J2Wgt9DFg24
2237,Savage,Bahari,0.87,0.725,0.427,0.0,3,0.1,-7.374,0,0.0511,98.017,0.433,['la pop'],164133,2018-04-20,7pPciGaYxP2FsFQCIBDEhb,0fs8oBR1rx7JIXZi75h7Uu,7pPciGaYxP2FsFQCIBDEhb,61,https://api.spotify.com/v1/audio-analysis/7pPciGaYxP2FsFQCIBDEhb,4,https://api.spotify.com/v1/tracks/7pPciGaYxP2FsFQCIBDEhb,audio_features,spotify:track:7pPciGaYxP2FsFQCIBDEhb
2238,Como Soy,Pacho El Antifeka,0.0732,0.825,0.752,0.0,9,0.106,-6.826,0,0.0537,113.95,0.391,['reggaeton flow'],312233,2018-08-30,7jIfxFhZSmH3LGud6D5m2w,03Enzet8KLMkjdeQnbqbmn,7jIfxFhZSmH3LGud6D5m2w,54,https://api.spotify.com/v1/audio-analysis/7jIfxFhZSmH3LGud6D5m2w,4,https://api.spotify.com/v1/tracks/7jIfxFhZSmH3LGud6D5m2w,audio_features,spotify:track:7jIfxFhZSmH3LGud6D5m2w
2239,lift me from the ground,San Holo,0.523,0.571,0.688,5.48e-05,11,0.148,-4.943,0,0.0401,155.157,0.346,"['edm', 'electro house', 'electronic trap', 'pop', 'pop edm', 'tropical house', 'vapor twitch']",260903,2018-09-21,7snnEDYwv30hRtmifVni8P,0jNDKefhfSbLR9sFvcPLHo,7snnEDYwv30hRtmifVni8P,57,https://api.spotify.com/v1/audio-analysis/7snnEDYwv30hRtmifVni8P,4,https://api.spotify.com/v1/tracks/7snnEDYwv30hRtmifVni8P,audio_features,spotify:track:7snnEDYwv30hRtmifVni8P
2240,Counting Every Blessing,Rend Collective,0.136,0.55,0.681,0.0,9,0.216,-4.759,1,0.0334,89.989,0.174,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'indiecoustica', 'roots worship', 'uk worship', 'world worship', 'worship']",302781,2018-01-05,7ewrtrIaGOiKh3G0zD5egG,11Y54BxlxC3UIAUkU2eadQ,7ewrtrIaGOiKh3G0zD5egG,54,https://api.spotify.com/v1/audio-analysis/7ewrtrIaGOiKh3G0zD5egG,4,https://api.spotify.com/v1/tracks/7ewrtrIaGOiKh3G0zD5egG,audio_features,spotify:track:7ewrtrIaGOiKh3G0zD5egG
2241,Suncity (feat. Empress Of),Khalid,0.107,0.695,0.639,0.000657,7,0.118,-6.897,0,0.153,90.027,0.344,['pop'],189493,2018-10-18,4AhSkRYioEIfGvCV19peYN,6LuN9FCkKOj5PcnpouEgny,4AhSkRYioEIfGvCV19peYN,65,https://api.spotify.com/v1/audio-analysis/4AhSkRYioEIfGvCV19peYN,4,https://api.spotify.com/v1/tracks/4AhSkRYioEIfGvCV19peYN,audio_features,spotify:track:4AhSkRYioEIfGvCV19peYN
2242,Wilson (Expensive Mistakes),Fall Out Boy,0.0241,0.492,0.805,0.0,6,0.107,-4.372,1,0.0603,152.035,0.66,"['emo', 'modern rock', 'pop punk']",216933,2018-01-19,2W6kVW3UZ3hwr4qbfCDp6B,4UXqAaa6dQYAk18Lv7PEgX,2W6kVW3UZ3hwr4qbfCDp6B,59,https://api.spotify.com/v1/audio-analysis/2W6kVW3UZ3hwr4qbfCDp6B,4,https://api.spotify.com/v1/tracks/2W6kVW3UZ3hwr4qbfCDp6B,audio_features,spotify:track:2W6kVW3UZ3hwr4qbfCDp6B
