,track,artist,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,duration_ms,release_date,id,artist_id,track_id,popularity,analysis_url,time_signature,track_href,type,uri,index,matches
2784,No Elegi Conocerte,Banda Sinaloense MS de Sergio Lizárraga,0.182,0.86,0.4,3.17e-06,2,0.0581,-7.131,1,0.0538,129.925,0.813,254853,2018-09-14,7EY91l11hOnYIytcxFgvDN,2C6i0I5RiGzDKN9IAF8reh,7EY91l11hOnYIytcxFgvDN,62,https://api.spotify.com/v1/audio-analysis/7EY91l11hOnYIytcxFgvDN,4,https://api.spotify.com/v1/tracks/7EY91l11hOnYIytcxFgvDN,audio_features,spotify:track:7EY91l11hOnYIytcxFgvDN,No Elegi Conocerte Banda Sinaloense MS de Sergio Lizárraga,No Smoke YoungBoy Never Broke Again
2785,Why Did It Have To Be Me?,Josh Dylan,0.129,0.55,0.78,1.85e-06,2,0.132,-5.55,1,0.0356,117.654,0.794,198360,2018-07-13,6rekLbbb3i42gCgFIXOFvE,6fJIdgIr67mX3lLEBjIMac,6rekLbbb3i42gCgFIXOFvE,62,https://api.spotify.com/v1/audio-analysis/6rekLbbb3i42gCgFIXOFvE,4,https://api.spotify.com/v1/tracks/6rekLbbb3i42gCgFIXOFvE,audio_features,spotify:track:6rekLbbb3i42gCgFIXOFvE,Why Did It Have To Be Me? Josh Dylan,It's The Most Wonderful Time Of The Year Andy Williams
2786,911,Ellise,0.571,0.698,0.611,5.3e-06,10,0.0587,-6.754,0,0.0686,130.098,0.507,190000,2018-10-12,6dusf13SeuKTa3dnxVmH3f,2FovgCfOwN9iqbkCBlKFdT,6dusf13SeuKTa3dnxVmH3f,59,https://api.spotify.com/v1/audio-analysis/6dusf13SeuKTa3dnxVmH3f,4,https://api.spotify.com/v1/tracks/6dusf13SeuKTa3dnxVmH3f,audio_features,spotify:track:6dusf13SeuKTa3dnxVmH3f,911 Ellise,
2787,F1,Natanael Cano,0.415,0.62,0.51,0.0,9,0.301,-5.119,0,0.0451,102.643,0.963,154576,2018-12-14,6bf11IBgO6k84wRuTSbci2,0elWFr7TW8piilVRYJUe4P,6bf11IBgO6k84wRuTSbci2,58,https://api.spotify.com/v1/audio-analysis/6bf11IBgO6k84wRuTSbci2,3,https://api.spotify.com/v1/tracks/6bf11IBgO6k84wRuTSbci2,audio_features,spotify:track:6bf11IBgO6k84wRuTSbci2,F1 Natanael Cano,
2788,Let It Sing,Kevin Gates,0.0392,0.737,0.728,0.0,5,0.159,-5.498,0,0.402,144.964,0.587,195456,2018-05-16,090R9OdFMbQQksvwuXmNEY,1gPhS1zisyXr5dHTYZyiMe,090R9OdFMbQQksvwuXmNEY,53,https://api.spotify.com/v1/audio-analysis/090R9OdFMbQQksvwuXmNEY,4,https://api.spotify.com/v1/tracks/090R9OdFMbQQksvwuXmNEY,audio_features,spotify:track:090R9OdFMbQQksvwuXmNEY,Let It Sing Kevin Gates,Let It Sing Kevin Gates
2789,Snowman,Sia,0.483,0.716,0.512,0.0,1,0.0928,-6.257,1,0.0331,104.957,0.326,165907,2018-11-01,7uoFMmxln0GPXQ0AcCBXRq,5WUlDfRSoLAfcVSX1WnrxN,7uoFMmxln0GPXQ0AcCBXRq,53,https://api.spotify.com/v1/audio-analysis/7uoFMmxln0GPXQ0AcCBXRq,3,https://api.spotify.com/v1/tracks/7uoFMmxln0GPXQ0AcCBXRq,audio_features,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Snowman Sia,Dusk Till Dawn Zayn Featuring Sia
2790,Pop Star,Lil Skies,0.0374,0.729,0.703,0.000189,9,0.0998,-6.771,0,0.12,155.008,0.437,136777,2018-03-05,64PiOjYeHRjU5NNjXBGvdn,7d3WFRME3vBY2cgoP38RDo,64PiOjYeHRjU5NNjXBGvdn,55,https://api.spotify.com/v1/audio-analysis/64PiOjYeHRjU5NNjXBGvdn,4,https://api.spotify.com/v1/tracks/64PiOjYeHRjU5NNjXBGvdn,audio_features,spotify:track:64PiOjYeHRjU5NNjXBGvdn,Pop Star Lil Skies,The Way Life Goes Lil Uzi Vert Featuring Nicki Minaj
2791,Fu shit,Lil Mosey,0.382,0.666,0.609,0.0,1,0.128,-7.567,1,0.0466,82.024,0.541,158049,2018-10-19,548QZtKCO7l8A6Lv3M1Huc,5zctI4wO9XSKS8XwcnqEHk,548QZtKCO7l8A6Lv3M1Huc,56,https://api.spotify.com/v1/audio-analysis/548QZtKCO7l8A6Lv3M1Huc,4,https://api.spotify.com/v1/tracks/548QZtKCO7l8A6Lv3M1Huc,audio_features,spotify:track:548QZtKCO7l8A6Lv3M1Huc,Fu shit Lil Mosey,The Way Life Goes Lil Uzi Vert Featuring Nicki Minaj
2792,OG Beeper,A$AP Rocky,0.121,0.91,0.477,0.0,2,0.305,-5.259,1,0.418,145.994,0.313,155893,2018-05-25,5TX0mfUkpGlU6j2xa00ERx,13ubrt8QOOCPljQ2FL1Kca,5TX0mfUkpGlU6j2xa00ERx,57,https://api.spotify.com/v1/audio-analysis/5TX0mfUkpGlU6j2xa00ERx,4,https://api.spotify.com/v1/tracks/5TX0mfUkpGlU6j2xa00ERx,audio_features,spotify:track:5TX0mfUkpGlU6j2xa00ERx,OG Beeper A$AP Rocky,No Limit G-Eazy Featuring A$AP Rocky & Cardi B
2793,And The Flowers Were Gray,Evelyn Stein,0.994,0.435,0.0214,0.968,2,0.0914,-26.006,1,0.0597,144.381,0.235,171553,2018-03-27,42ZTTDeBon4bTcSF3KA5F0,4rygF1Cuu6aehFfLcK8ZjN,42ZTTDeBon4bTcSF3KA5F0,60,https://api.spotify.com/v1/audio-analysis/42ZTTDeBon4bTcSF3KA5F0,3,https://api.spotify.com/v1/tracks/42ZTTDeBon4bTcSF3KA5F0,audio_features,spotify:track:42ZTTDeBon4bTcSF3KA5F0,And The Flowers Were Gray Evelyn Stein,The Weekend SZA
2794,Hardaway,Derez De’Shon,0.118,0.537,0.518,0.0,1,0.146,-5.987,1,0.188,132.527,0.427,236032,2018-04-13,25qhnRgAcImQWfaswqRkwN,1C5vXvYnmVVTKw4GVCKGzM,25qhnRgAcImQWfaswqRkwN,53,https://api.spotify.com/v1/audio-analysis/25qhnRgAcImQWfaswqRkwN,4,https://api.spotify.com/v1/tracks/25qhnRgAcImQWfaswqRkwN,audio_features,spotify:track:25qhnRgAcImQWfaswqRkwN,Hardaway Derez De’Shon,Hardaway Derez De'Shon
2796,One Day (ft. Ryan Tedder),Logic,0.148,0.549,0.861,0.000122,10,0.101,-5.737,1,0.177,189.711,0.354,198107,2018-09-28,7rKKh8AGVXuNXgLBpTBTFH,4xRYI6VqpkE3UwrDrAZL8L,7rKKh8AGVXuNXgLBpTBTFH,56,https://api.spotify.com/v1/audio-analysis/7rKKh8AGVXuNXgLBpTBTFH,4,https://api.spotify.com/v1/tracks/7rKKh8AGVXuNXgLBpTBTFH,audio_features,spotify:track:7rKKh8AGVXuNXgLBpTBTFH,One Day (ft. Ryan Tedder) Logic,One Day Logic Featuring Ryan Tedder
2797,Bathing Ape (feat. OhGeesy & Fenix Flexin),Shoreline Mafia,0.027,0.798,0.645,0.0,11,0.112,-6.213,0,0.123,94.975,0.304,182040,2018-12-07,6fxewok2R0FC59iIuXe42w,4tYSBptyGeVyZsk8JC4JHZ,6fxewok2R0FC59iIuXe42w,53,https://api.spotify.com/v1/audio-analysis/6fxewok2R0FC59iIuXe42w,4,https://api.spotify.com/v1/tracks/6fxewok2R0FC59iIuXe42w,audio_features,spotify:track:6fxewok2R0FC59iIuXe42w,Bathing Ape (feat. OhGeesy & Fenix Flexin) Shoreline Mafia,
2798,It Runs Through Me,Tom Misch,0.205,0.802,0.607,0.000748,11,0.246,-11.028,0,0.289,96.916,0.274,261881,2018-04-06,02CygBCQOIyEuhNZqHHcNx,1uiEZYehlNivdK3iQyAbye,02CygBCQOIyEuhNZqHHcNx,63,https://api.spotify.com/v1/audio-analysis/02CygBCQOIyEuhNZqHHcNx,4,https://api.spotify.com/v1/tracks/02CygBCQOIyEuhNZqHHcNx,audio_features,spotify:track:02CygBCQOIyEuhNZqHHcNx,It Runs Through Me Tom Misch,It's The Most Wonderful Time Of The Year Andy Williams
2799,That I Miss You,Vansire,0.306,0.779,0.572,0.739,4,0.106,-9.259,1,0.0396,114.994,0.967,140116,2018-07-17,7cneuh5BMBbqbbGrpqTDHQ,6ft7JnxMyZhp7N52qzHymY,7cneuh5BMBbqbbGrpqTDHQ,55,https://api.spotify.com/v1/audio-analysis/7cneuh5BMBbqbbGrpqTDHQ,4,https://api.spotify.com/v1/tracks/7cneuh5BMBbqbbGrpqTDHQ,audio_features,spotify:track:7cneuh5BMBbqbbGrpqTDHQ,That I Miss You Vansire,All I Want For Christmas Is You Mariah Carey
2800,Handle It,Ann Marie,0.717,0.649,0.646,1.84e-05,11,0.0931,-6.051,1,0.0438,117.953,0.528,195254,2018-04-13,4WZuRY0CLNJg8P9OFBStEN,3feB1IF85It42sebtWSqws,4WZuRY0CLNJg8P9OFBStEN,54,https://api.spotify.com/v1/audio-analysis/4WZuRY0CLNJg8P9OFBStEN,4,https://api.spotify.com/v1/tracks/4WZuRY0CLNJg8P9OFBStEN,audio_features,spotify:track:4WZuRY0CLNJg8P9OFBStEN,Handle It Ann Marie,Feel It Still Portugal. The Man
2802,El Anillo,Jennifer Lopez,0.0248,0.87,0.691,0.0,2,0.0861,-4.11,0,0.18,130.056,0.469,176816,2018-04-26,2SpfMQ5TuKsMj1trNwrLVA,2DlGxzQSjYe5N6G9nkYghR,2SpfMQ5TuKsMj1trNwrLVA,64,https://api.spotify.com/v1/audio-analysis/2SpfMQ5TuKsMj1trNwrLVA,4,https://api.spotify.com/v1/tracks/2SpfMQ5TuKsMj1trNwrLVA,audio_features,spotify:track:2SpfMQ5TuKsMj1trNwrLVA,El Anillo Jennifer Lopez,El Bano Enrique Iglesias Featuring Bad Bunny
2803,Tax Time,DaBaby,0.0396,0.863,0.718,0.0,5,0.255,-6.922,0,0.0619,115.017,0.717,90520,2018-06-01,7GmszQmVSjsSNqY51O5AY7,4r63FhuTkUYltbVAg5TQnk,7GmszQmVSjsSNqY51O5AY7,53,https://api.spotify.com/v1/audio-analysis/7GmszQmVSjsSNqY51O5AY7,4,https://api.spotify.com/v1/tracks/7GmszQmVSjsSNqY51O5AY7,audio_features,spotify:track:7GmszQmVSjsSNqY51O5AY7,Tax Time DaBaby,It's The Most Wonderful Time Of The Year Andy Williams
2804,Magnetic,Strange Imagining,0.991,0.512,0.121,0.74,9,0.0726,-19.46,1,0.0338,69.981,0.298,172457,2018-02-13,3FBk3DcCOC5gkhX50rbHbC,5mTkTPh9MmJpwEUNV1QuYF,3FBk3DcCOC5gkhX50rbHbC,60,https://api.spotify.com/v1/audio-analysis/3FBk3DcCOC5gkhX50rbHbC,4,https://api.spotify.com/v1/tracks/3FBk3DcCOC5gkhX50rbHbC,audio_features,spotify:track:3FBk3DcCOC5gkhX50rbHbC,Magnetic Strange Imagining,
2805,SAYONARA,Aries,0.0111,0.548,0.63,0.000721,5,0.128,-6.1,1,0.0343,75.972,0.338,180789,2018-04-11,3Ri5PVHQ3VacOyPT4Pij62,3hOdow4ZPmrby7Q1wfPLEy,3Ri5PVHQ3VacOyPT4Pij62,56,https://api.spotify.com/v1/audio-analysis/3Ri5PVHQ3VacOyPT4Pij62,4,https://api.spotify.com/v1/tracks/3Ri5PVHQ3VacOyPT4Pij62,audio_features,spotify:track:3Ri5PVHQ3VacOyPT4Pij62,SAYONARA Aries,
2806,El Que Era Humillado,Diferente Nivel,0.557,0.86,0.687,0.0,5,0.221,-7.176,1,0.0701,112.562,0.748,180365,2018-10-26,7yJMLK0N02fwG7tgw9U2qN,5dHdCFMXwl9JofjKjS1MW0,7yJMLK0N02fwG7tgw9U2qN,59,https://api.spotify.com/v1/audio-analysis/7yJMLK0N02fwG7tgw9U2qN,4,https://api.spotify.com/v1/tracks/7yJMLK0N02fwG7tgw9U2qN,audio_features,spotify:track:7yJMLK0N02fwG7tgw9U2qN,El Que Era Humillado Diferente Nivel,Dame Tu Cosita Pitbull x El Chombo x Karol G Featuring Cutty Ranks
2807,Darte,Alex Rose,0.189,0.77,0.553,1.41e-06,4,0.108,-6.267,0,0.208,155.025,0.41,239341,2018-03-27,1l32xprL1vhaCYPZe3Jkxn,2DspEsT7UXGKd2VaaedgG4,1l32xprL1vhaCYPZe3Jkxn,62,https://api.spotify.com/v1/audio-analysis/1l32xprL1vhaCYPZe3Jkxn,4,https://api.spotify.com/v1/tracks/1l32xprL1vhaCYPZe3Jkxn,audio_features,spotify:track:1l32xprL1vhaCYPZe3Jkxn,Darte Alex Rose,
2808,Coolant,Farruko,0.192,0.827,0.85,0.0,8,0.043,-4.836,1,0.14,168.012,0.961,211436,2018-08-10,2fHOqQ9K6eY0wsbVZiYZPw,329e4yvIujISKGKz1BZZbO,2fHOqQ9K6eY0wsbVZiYZPw,65,https://api.spotify.com/v1/audio-analysis/2fHOqQ9K6eY0wsbVZiYZPw,4,https://api.spotify.com/v1/tracks/2fHOqQ9K6eY0wsbVZiYZPw,audio_features,spotify:track:2fHOqQ9K6eY0wsbVZiYZPw,Coolant Farruko,"Krippy Kush Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian"
2809,Traicionera,Sebastian Yatra,0.147,0.775,0.679,0.0,11,0.155,-4.985,1,0.0465,91.0,0.674,229387,2018-05-18,4Ft0391aLVNtCPPseh98lp,07YUOmWljBTXwIseAUd9TW,4Ft0391aLVNtCPPseh98lp,69,https://api.spotify.com/v1/audio-analysis/4Ft0391aLVNtCPPseh98lp,4,https://api.spotify.com/v1/tracks/4Ft0391aLVNtCPPseh98lp,audio_features,spotify:track:4Ft0391aLVNtCPPseh98lp,Traicionera Sebastian Yatra,
2810,Trippple Cross (feat. Future & Young Thug),Young Scooter,0.00945,0.818,0.573,4.53e-06,8,0.114,-8.299,1,0.22,134.982,0.304,190222,2018-02-23,3Aflzeml3BDWtEOy0VUMRo,4cmA2QDPdzh8W2ytpyUGes,3Aflzeml3BDWtEOy0VUMRo,53,https://api.spotify.com/v1/audio-analysis/3Aflzeml3BDWtEOy0VUMRo,4,https://api.spotify.com/v1/tracks/3Aflzeml3BDWtEOy0VUMRo,audio_features,spotify:track:3Aflzeml3BDWtEOy0VUMRo,Trippple Cross (feat. Future & Young Thug) Young Scooter,Young Dumb & Broke Khalid
2811,Pristine,Snail Mail,0.00461,0.483,0.695,0.000661,0,0.102,-5.493,1,0.0313,126.212,0.294,295333,2018-06-08,4UADR6fNQfx4fxkiRQvSy2,4QkSD9TRUnMtI8Fq1jXJJe,4UADR6fNQfx4fxkiRQvSy2,55,https://api.spotify.com/v1/audio-analysis/4UADR6fNQfx4fxkiRQvSy2,4,https://api.spotify.com/v1/tracks/4UADR6fNQfx4fxkiRQvSy2,audio_features,spotify:track:4UADR6fNQfx4fxkiRQvSy2,Pristine Snail Mail,
2812,Bussin,Shoreline Mafia,0.00739,0.862,0.438,0.0,8,0.37,-10.096,1,0.0594,97.454,0.165,210048,2018-08-31,0DxPQC8iEYU6qpvTvR9tyF,4tYSBptyGeVyZsk8JC4JHZ,0DxPQC8iEYU6qpvTvR9tyF,53,https://api.spotify.com/v1/audio-analysis/0DxPQC8iEYU6qpvTvR9tyF,4,https://api.spotify.com/v1/tracks/0DxPQC8iEYU6qpvTvR9tyF,audio_features,spotify:track:0DxPQC8iEYU6qpvTvR9tyF,Bussin Shoreline Mafia,
2813,When I Kissed The Teacher,Lily James,0.332,0.536,0.846,0.0,3,0.047,-4.661,1,0.0558,154.744,0.79,181533,2018-07-13,1WOBzx0R3hyphrI1AUv4Zu,7gWjOPetXNCBqlVe6axl8K,1WOBzx0R3hyphrI1AUv4Zu,63,https://api.spotify.com/v1/audio-analysis/1WOBzx0R3hyphrI1AUv4Zu,4,https://api.spotify.com/v1/tracks/1WOBzx0R3hyphrI1AUv4Zu,audio_features,spotify:track:1WOBzx0R3hyphrI1AUv4Zu,When I Kissed The Teacher Lily James,I Fall Apart Post Malone
2814,Duro y Suave,Leslie Grace,0.111,0.769,0.721,5.9e-05,10,0.0505,-4.483,0,0.153,94.978,0.618,207720,2018-01-19,31M5m42C3EGlbydf9XB5to,6BeO1KuAWBqFriL1mLHtNc,31M5m42C3EGlbydf9XB5to,70,https://api.spotify.com/v1/audio-analysis/31M5m42C3EGlbydf9XB5to,4,https://api.spotify.com/v1/tracks/31M5m42C3EGlbydf9XB5to,audio_features,spotify:track:31M5m42C3EGlbydf9XB5to,Duro y Suave Leslie Grace,
2815,I Have Love for Everyone Besides Myself.,Barnes Blvd.,0.97,0.352,0.238,0.586,0,0.0664,-18.408,1,0.1,72.649,0.0376,161239,2018-05-08,6okflAl3X7elXPx7MgJMi6,1sWWXO9dckUfAgKYJLZ8Nc,6okflAl3X7elXPx7MgJMi6,59,https://api.spotify.com/v1/audio-analysis/6okflAl3X7elXPx7MgJMi6,3,https://api.spotify.com/v1/tracks/6okflAl3X7elXPx7MgJMi6,audio_features,spotify:track:6okflAl3X7elXPx7MgJMi6,I Have Love for Everyone Besides Myself. Barnes Blvd.,Bad At Love Halsey
2816,Haircut,Ryan Beatty,0.731,0.779,0.495,0.000332,8,0.132,-7.621,1,0.0381,128.992,0.546,216003,2018-07-20,3UY4s7F4Ard3T6vm7xcJxQ,60NNvDqsif0u40CXMV6jDQ,3UY4s7F4Ard3T6vm7xcJxQ,55,https://api.spotify.com/v1/audio-analysis/3UY4s7F4Ard3T6vm7xcJxQ,4,https://api.spotify.com/v1/tracks/3UY4s7F4Ard3T6vm7xcJxQ,audio_features,spotify:track:3UY4s7F4Ard3T6vm7xcJxQ,Haircut Ryan Beatty,One Day Logic Featuring Ryan Tedder
2817,The Ones Left Behind,Martin Rapide,0.994,0.429,0.0407,0.945,11,0.0856,-23.967,0,0.0523,97.563,0.134,148988,2018-10-25,1pfOyfuKafxJXajfsnU731,0rsshRiKbaGqpYNI0jYNIX,1pfOyfuKafxJXajfsnU731,60,https://api.spotify.com/v1/audio-analysis/1pfOyfuKafxJXajfsnU731,3,https://api.spotify.com/v1/tracks/1pfOyfuKafxJXajfsnU731,audio_features,spotify:track:1pfOyfuKafxJXajfsnU731,The Ones Left Behind Martin Rapide,The Weekend SZA
2818,Count Bassy,Dance Gavin Dance,0.00662,0.484,0.928,0.0,1,0.733,-3.618,1,0.0574,135.934,0.44,245069,2018-06-08,3jITkO2u1H36DMiMAMJWHj,6guC9FqvlVboSKTI77NG2k,3jITkO2u1H36DMiMAMJWHj,54,https://api.spotify.com/v1/audio-analysis/3jITkO2u1H36DMiMAMJWHj,4,https://api.spotify.com/v1/tracks/3jITkO2u1H36DMiMAMJWHj,audio_features,spotify:track:3jITkO2u1H36DMiMAMJWHj,Count Bassy Dance Gavin Dance,
2819,Way Back Home,SHAUN,0.405,0.745,0.739,0.000183,10,0.127,-4.591,1,0.0327,99.913,0.556,214137,2018-06-27,3NxuezMdSLgt4OwHzBoUhL,72nLe76yBFSlP6VBzME358,3NxuezMdSLgt4OwHzBoUhL,64,https://api.spotify.com/v1/audio-analysis/3NxuezMdSLgt4OwHzBoUhL,4,https://api.spotify.com/v1/tracks/3NxuezMdSLgt4OwHzBoUhL,audio_features,spotify:track:3NxuezMdSLgt4OwHzBoUhL,Way Back Home SHAUN,The Way Life Goes Lil Uzi Vert Featuring Nicki Minaj
2820,New Endings,Bon Vie,0.989,0.226,0.0315,0.964,0,0.124,-27.615,1,0.034,91.988,0.0381,188592,2018-09-07,2IAZza3wdiTYT8QtO0hbLv,5HNWBc46bpwk0Aa5klthkQ,2IAZza3wdiTYT8QtO0hbLv,60,https://api.spotify.com/v1/audio-analysis/2IAZza3wdiTYT8QtO0hbLv,4,https://api.spotify.com/v1/tracks/2IAZza3wdiTYT8QtO0hbLv,audio_features,spotify:track:2IAZza3wdiTYT8QtO0hbLv,New Endings Bon Vie,New Freezer Rich The Kid Featuring Kendrick Lamar
2822,スモーク,SwuM,0.826,0.493,0.44,0.679,5,0.122,-8.547,0,0.0574,76.001,0.225,151579,2018-01-31,2g6WTGWNYGnRCBaWEzFE00,2Fc1UZXKRmPpWWx1sxcb9m,2g6WTGWNYGnRCBaWEzFE00,58,https://api.spotify.com/v1/audio-analysis/2g6WTGWNYGnRCBaWEzFE00,4,https://api.spotify.com/v1/tracks/2g6WTGWNYGnRCBaWEzFE00,audio_features,spotify:track:2g6WTGWNYGnRCBaWEzFE00,スモーク SwuM,
2823,Darlin',tobi lou,0.571,0.866,0.388,0.0,9,0.1,-11.009,1,0.32,109.976,0.556,205091,2018-04-23,0eGrwX4kf5sV1faR5tZDp3,4T8NIfZmVY6TJFqVzN6X49,0eGrwX4kf5sV1faR5tZDp3,55,https://api.spotify.com/v1/audio-analysis/0eGrwX4kf5sV1faR5tZDp3,4,https://api.spotify.com/v1/tracks/0eGrwX4kf5sV1faR5tZDp3,audio_features,spotify:track:0eGrwX4kf5sV1faR5tZDp3,Darlin' tobi lou,
2824,Nervous,The Neighbourhood,0.0213,0.589,0.614,0.165,0,0.31,-7.528,0,0.0426,119.837,0.318,245000,2018-11-02,113xf7t4qNM7038YJvauik,77SW9BnxLY8rJ0RciFqkHh,113xf7t4qNM7038YJvauik,62,https://api.spotify.com/v1/audio-analysis/113xf7t4qNM7038YJvauik,4,https://api.spotify.com/v1/tracks/113xf7t4qNM7038YJvauik,audio_features,spotify:track:113xf7t4qNM7038YJvauik,Nervous The Neighbourhood,I Get The Bag Gucci Mane Featuring Migos
2825,Might Not Like Me,Brynn Elliott,0.284,0.88,0.675,0.0,4,0.103,-5.035,1,0.0359,114.022,0.561,196320,2018-05-04,6jjthaSazWJUHKzNkkEDkQ,43AN9FNovCCWxPX4talyzz,6jjthaSazWJUHKzNkkEDkQ,55,https://api.spotify.com/v1/audio-analysis/6jjthaSazWJUHKzNkkEDkQ,4,https://api.spotify.com/v1/tracks/6jjthaSazWJUHKzNkkEDkQ,audio_features,spotify:track:6jjthaSazWJUHKzNkkEDkQ,Might Not Like Me Brynn Elliott,Let Me Go Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
2826,Come Back Baby,Pusha T,0.0487,0.874,0.485,0.0,0,0.299,-3.026,1,0.171,92.001,0.322,206707,2018-05-25,2BuBXn15gj4MNYZydyWgrk,0ONHkAv9pCAFxb0zJwDNTy,2BuBXn15gj4MNYZydyWgrk,56,https://api.spotify.com/v1/audio-analysis/2BuBXn15gj4MNYZydyWgrk,4,https://api.spotify.com/v1/tracks/2BuBXn15gj4MNYZydyWgrk,audio_features,spotify:track:2BuBXn15gj4MNYZydyWgrk,Come Back Baby Pusha T,Want You Back 5 Seconds Of Summer
2827,Seventeen,Troye Sivan,0.165,0.612,0.743,4.35e-05,4,0.319,-7.25,1,0.0442,118.913,0.347,218351,2018-08-31,7iyKbBjb2fmTnTfCjCh7ER,3WGpXCj9YhhfX11TToZcXP,7iyKbBjb2fmTnTfCjCh7ER,60,https://api.spotify.com/v1/audio-analysis/7iyKbBjb2fmTnTfCjCh7ER,4,https://api.spotify.com/v1/tracks/7iyKbBjb2fmTnTfCjCh7ER,audio_features,spotify:track:7iyKbBjb2fmTnTfCjCh7ER,Seventeen Troye Sivan,I'm So Tired... Lauv & Troye Sivan
2828,No More,Verzache,0.915,0.768,0.401,0.0399,1,0.11,-10.934,0,0.0845,102.049,0.421,190588,2018-05-25,7cp4RhTjLWv4XEyeJLcbrp,59KX7XUUgAOOo5IyDjca0T,7cp4RhTjLWv4XEyeJLcbrp,57,https://api.spotify.com/v1/audio-analysis/7cp4RhTjLWv4XEyeJLcbrp,4,https://api.spotify.com/v1/tracks/7cp4RhTjLWv4XEyeJLcbrp,audio_features,spotify:track:7cp4RhTjLWv4XEyeJLcbrp,No More Verzache,No Limit G-Eazy Featuring A$AP Rocky & Cardi B
2829,Fuentes de Ortiz,Ed Maverick,0.946,0.83,0.159,2.02e-05,1,0.362,-14.461,1,0.0383,104.95,0.189,207400,2018-03-02,0akyEssGRVHstqCSWXusJL,3JSSjGYcIkgsrz7892CelT,0akyEssGRVHstqCSWXusJL,75,https://api.spotify.com/v1/audio-analysis/0akyEssGRVHstqCSWXusJL,4,https://api.spotify.com/v1/tracks/0akyEssGRVHstqCSWXusJL,audio_features,spotify:track:0akyEssGRVHstqCSWXusJL,Fuentes de Ortiz Ed Maverick,Perfect Ed Sheeran
2830,Grow,Conan Gray,0.0558,0.484,0.599,0.0,7,0.0834,-5.929,1,0.04,104.836,0.17,224080,2018-11-14,7vn3J5Io100bjDdKaW4Aw2,4Uc8Dsxct0oMqx0P6i60ea,7vn3J5Io100bjDdKaW4Aw2,56,https://api.spotify.com/v1/audio-analysis/7vn3J5Io100bjDdKaW4Aw2,4,https://api.spotify.com/v1/tracks/7vn3J5Io100bjDdKaW4Aw2,audio_features,spotify:track:7vn3J5Io100bjDdKaW4Aw2,Grow Conan Gray,
2832,Red Letters,Crowder,0.339,0.479,0.706,1.32e-06,11,0.332,-7.282,1,0.0527,148.02,0.481,228227,2018-09-19,6kayAD8DHrHe1bn5Russar,39xmI59WrIMyyJjSDq6WCu,6kayAD8DHrHe1bn5Russar,53,https://api.spotify.com/v1/audio-analysis/6kayAD8DHrHe1bn5Russar,4,https://api.spotify.com/v1/tracks/6kayAD8DHrHe1bn5Russar,audio_features,spotify:track:6kayAD8DHrHe1bn5Russar,Red Letters Crowder,Red Roses Lil Skies Featuring Landon Cube
2833,No Face No Case,Vinny West,0.728,0.953,0.374,0.0,4,0.27,-11.926,0,0.39,102.998,0.525,191687,2018-07-21,3ZIc9JjtVQadMkew71IhLf,08jCyIC4E6iQjr4nrd1yDA,3ZIc9JjtVQadMkew71IhLf,53,https://api.spotify.com/v1/audio-analysis/3ZIc9JjtVQadMkew71IhLf,4,https://api.spotify.com/v1/tracks/3ZIc9JjtVQadMkew71IhLf,audio_features,spotify:track:3ZIc9JjtVQadMkew71IhLf,No Face No Case Vinny West,No Limit G-Eazy Featuring A$AP Rocky & Cardi B
2834,Paranoid,Lauv,0.644,0.701,0.241,0.000171,2,0.149,-8.388,0,0.0515,107.969,0.132,192530,2018-05-31,2wCVpdNSHjqIn2en8jAnF0,5JZ7CnR6gTvEMKX4g70Amv,2wCVpdNSHjqIn2en8jAnF0,60,https://api.spotify.com/v1/audio-analysis/2wCVpdNSHjqIn2en8jAnF0,3,https://api.spotify.com/v1/tracks/2wCVpdNSHjqIn2en8jAnF0,audio_features,spotify:track:2wCVpdNSHjqIn2en8jAnF0,Paranoid Lauv,I Like Me Better Lauv
2835,Ooh Yea (feat. Ty Dolla $ign),Fabolous,0.659,0.77,0.607,0.0,10,0.159,-6.102,0,0.372,150.006,0.747,208027,2018-07-13,5hNAgr4yRjR5loFVRcwYgu,0YWxKQj2Go9CGHCp77UOyy,5hNAgr4yRjR5loFVRcwYgu,56,https://api.spotify.com/v1/audio-analysis/5hNAgr4yRjR5loFVRcwYgu,4,https://api.spotify.com/v1/tracks/5hNAgr4yRjR5loFVRcwYgu,audio_features,spotify:track:5hNAgr4yRjR5loFVRcwYgu,Ooh Yea (feat. Ty Dolla $ign) Fabolous,"White Sand Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean"
