,ranking,,title,artist,rank_week,index
1186,87,,Yuck,Logic,2018-03-24,Yuck Logic
1196,97,,BoomTrap Protocol,Logic,2018-03-24,BoomTrap Protocol Logic
5637,38,,Keanu Reeves,Logic,2019-02-02,Keanu Reeves Logic
6577,78,,Confessions Of A Dangerous Mind,Logic,2019-04-06,Confessions Of A Dangerous Mind Logic
1042,43,,Everyday,Logic & Marshmello,2018-03-17,Everyday Logic & Marshmello
33,34,,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2018-01-06,1-800-273-8255 Logic Featuring Alessia Cara & Khalid
1182,83,,Wassup,Logic Featuring Big Sean,2018-03-24,Wassup Logic Featuring Big Sean
7104,5,,Homicide,Logic Featuring Eminem,2019-05-18,Homicide Logic Featuring Eminem
3179,80,,One Day,Logic Featuring Ryan Tedder,2018-08-11,One Day Logic Featuring Ryan Tedder
1155,56,,Indica Badu,Logic Featuring Wiz Khalifa,2018-03-24,Indica Badu Logic Featuring Wiz Khalifa
1197,98,,Warm It Up,Logic Featuring Young Sinatra,2018-03-24,Warm It Up Logic Featuring Young Sinatra
187,88,,Never Enough,Loren Allred,2018-01-13,Never Enough Loren Allred
5386,87,,Body,Loud Luxury Featuring Brando,2019-01-12,Body Loud Luxury Featuring Brando
2983,84,,Broken,lovelytheband,2018-07-28,Broken lovelytheband
29,30,,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2018-01-06,Despacito Luis Fonsi & Daddy Yankee Featuring Justin Bieber
73,74,,Echame La Culpa,Luis Fonsi & Demi Lovato,2018-01-06,Echame La Culpa Luis Fonsi & Demi Lovato
5381,82,,Love Someone,Lukas Graham,2019-01-12,Love Someone Lukas Graham
72,73,,Light It Up,Luke Bryan,2018-01-06,Light It Up Luke Bryan
593,94,,Most People Are Good,Luke Bryan,2018-02-10,Most People Are Good Luke Bryan
2785,86,,"Sunrise, Sunburn, Sunset",Luke Bryan,2018-07-14,"Sunrise, Sunburn, Sunset Luke Bryan"
5375,76,,What Makes You Country,Luke Bryan,2019-01-12,What Makes You Country Luke Bryan
7093,94,,Knockin' Boots,Luke Bryan,2019-05-11,Knockin' Boots Luke Bryan
1283,84,,One Number Away,Luke Combs,2018-03-31,One Number Away Luke Combs
1957,58,,Beautiful Crazy,Luke Combs,2018-05-19,Beautiful Crazy Luke Combs
2380,81,,Must've Never Met You,Luke Combs,2018-06-16,Must've Never Met You Luke Combs
3394,95,,She Got The Best Of Me,Luke Combs,2018-08-25,She Got The Best Of Me Luke Combs
7167,68,,Beer Never Broke My Heart,Luke Combs,2019-05-18,Beer Never Broke My Heart Luke Combs
7661,62,,Even Though I'm Leaving,Luke Combs,2019-06-22,Even Though I'm Leaving Luke Combs
7272,73,,Soltera,"Lunay, Daddy Yankee & Bad Bunny",2019-05-25,"Soltera Lunay, Daddy Yankee & Bad Bunny"
6596,97,,Don't Call Me Up,Mabel,2019-04-06,Don't Call Me Up Mabel
3732,33,,Self Care,Mac Miller,2018-09-22,Self Care Mac Miller
3769,70,,Hurt Feelings,Mac Miller,2018-09-22,Hurt Feelings Mac Miller
3790,91,,Come Back To Earth,Mac Miller,2018-09-22,Come Back To Earth Mac Miller
3712,13,,Rap Devil,Machine Gun Kelly,2018-09-22,Rap Devil Machine Gun Kelly
94,95,,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",2018-01-06,"Home Machine Gun Kelly, X Ambassadors & Bebe Rexha"
59,60,,Good Old Days,Macklemore Featuring Kesha,2018-01-06,Good Old Days Macklemore Featuring Kesha
7495,96,,HP,Maluma,2019-06-08,HP Maluma
191,92,,Corazon,Maluma X Nego do Borel,2018-01-13,Corazon Maluma X Nego do Borel
80,81,,I Could Use A Love Song,Maren Morris,2018-01-06,I Could Use A Love Song Maren Morris
3995,96,,Rich,Maren Morris,2018-10-06,Rich Maren Morris
5695,96,,GIRL,Maren Morris,2019-02-02,GIRL Maren Morris
12,13,,All I Want For Christmas Is You,Mariah Carey,2018-01-06,All I Want For Christmas Is You Mariah Carey
4966,67,,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2018-12-15,Nothing Breaks Like A Heart Mark Ronson Featuring Miley Cyrus
487,88,,Wait,Maroon 5,2018-02-03,Wait Maroon 5
2293,94,,Girls Like You,Maroon 5 Featuring Cardi B,2018-06-09,Girls Like You Maroon 5 Featuring Cardi B
20,21,,What Lovers Do,Maroon 5 Featuring SZA,2018-01-06,What Lovers Do Maroon 5 Featuring SZA
5827,28,,Alone,Marshmello,2019-02-16,Alone Marshmello
771,72,,Friends,Marshmello & Anne-Marie,2018-02-24,Friends Marshmello & Anne-Marie
3462,63,,Happier,Marshmello & Bastille,2018-09-01,Happier Marshmello & Bastille
7791,92,,Rescue Me,Marshmello Featuring A Day To Remember,2019-06-29,Rescue Me Marshmello Featuring A Day To Remember
6374,75,,Here With Me,Marshmello Featuring CHVRCHES,2019-03-23,Here With Me Marshmello Featuring CHVRCHES
43,44,,Silence,Marshmello Featuring Khalid,2018-01-06,Silence Marshmello Featuring Khalid
7089,90,,Light It Up,"Marshmello, Tyga & Chris Brown",2019-05-11,"Light It Up Marshmello, Tyga & Chris Brown"
2577,78,,Ocean,Martin Garrix Featuring Khalid,2018-06-30,Ocean Martin Garrix Featuring Khalid
1861,62,,Famous,Mason Ramsey,2018-05-12,Famous Mason Ramsey
53,54,,Lights Down Low,MAX Featuring gnash,2018-01-06,Lights Down Low MAX Featuring gnash
4954,55,,Intro,Meek Mill,2018-12-15,Intro Meek Mill
4956,57,,Respect The Game,Meek Mill,2018-12-15,Respect The Game Meek Mill
4960,61,,Trauma,Meek Mill,2018-12-15,Trauma Meek Mill
4969,70,,Championships,Meek Mill,2018-12-15,Championships Meek Mill
4972,73,,Almost Slipped,Meek Mill,2018-12-15,Almost Slipped Meek Mill
4984,85,,Oodles O' Noodles Babies,Meek Mill,2018-12-15,Oodles O' Noodles Babies Meek Mill
4977,78,,Pay You Back,Meek Mill Featuring 21 Savage,2018-12-15,Pay You Back Meek Mill Featuring 21 Savage
4929,30,,On Me,Meek Mill Featuring Cardi B,2018-12-15,On Me Meek Mill Featuring Cardi B
4905,6,,Going Bad,Meek Mill Featuring Drake,2018-12-15,Going Bad Meek Mill Featuring Drake
4953,54,,24/7,Meek Mill Featuring Ella Mai,2018-12-15,24/7 Meek Mill Featuring Ella Mai
4938,39,,Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA,2018-12-15,Uptown Vibes Meek Mill Featuring Fabolous & Anuel AA
4976,77,,Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",2018-12-15,"Splash Warning Meek Mill Featuring Future, Roddy Ricch & Young Thug"
2878,79,,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,2018-07-21,Dangerous Meek Mill Featuring Jeremih & PnB Rock
4971,72,,Tic Tac Toe,Meek Mill Featuring Kodak Black,2018-12-15,Tic Tac Toe Meek Mill Featuring Kodak Black
4919,20,,What's Free,Meek Mill Featuring Rick Ross & JAY-Z,2018-12-15,What's Free Meek Mill Featuring Rick Ross & JAY-Z
2872,73,,Millidelphia,Meek Mill Featuring Swizz Beatz,2018-07-21,Millidelphia Meek Mill Featuring Swizz Beatz
6798,99,,Big Ole Freak,Megan Thee Stallion,2019-04-20,Big Ole Freak Megan Thee Stallion
1045,46,,No Excuses,Meghan Trainor,2018-03-17,No Excuses Meghan Trainor
4537,38,,Don't Come Out The House,Metro Boomin Featuring 21 Savage,2018-11-17,Don't Come Out The House Metro Boomin Featuring 21 Savage
4541,42,,10 Freaky Girls,Metro Boomin Featuring 21 Savage,2018-11-17,10 Freaky Girls Metro Boomin Featuring 21 Savage
4550,51,,Space Cadet,Metro Boomin Featuring Gunna,2018-11-17,Space Cadet Metro Boomin Featuring Gunna
4571,72,,Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott,2018-11-17,Dreamcatcher Metro Boomin Featuring Swae Lee & Travis Scott
4561,62,,Overdue,Metro Boomin Featuring Travis Scott,2018-11-17,Overdue Metro Boomin Featuring Travis Scott
4599,100,,Up To Something,Metro Boomin Featuring Travis Scott & Young Thug,2018-11-17,Up To Something Metro Boomin Featuring Travis Scott & Young Thug
4578,79,,No More,"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",2018-11-17,"No More Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage"
4430,31,,Thriller,Michael Jackson,2018-11-10,Thriller Michael Jackson
6099,100,,One That Got Away,Michael Ray,2019-03-02,One That Got Away Michael Ray
5391,92,,Burn Out,Midland,2019-01-12,Burn Out Midland
93,94,,Stir Fry,Migos,2018-01-06,Stir Fry Migos
535,36,,Narcos,Migos,2018-02-10,Narcos Migos
552,53,,Supastars,Migos,2018-02-10,Supastars Migos
572,73,,Gang Gang,Migos,2018-02-10,Gang Gang Migos
582,83,,Higher We Go (Intro),Migos,2018-02-10,Higher We Go (Intro) Migos
584,85,,Auto Pilot,Migos,2018-02-10,Auto Pilot Migos
586,87,,Emoji A Chain,Migos,2018-02-10,Emoji A Chain Migos
547,48,,BBO (Bad Bitches Only),Migos Featuring 21 Savage,2018-02-10,BBO (Bad Bitches Only) Migos Featuring 21 Savage
517,18,,Walk It Talk It,Migos Featuring Drake,2018-02-10,Walk It Talk It Migos Featuring Drake
595,96,,CC,Migos Featuring Gucci Mane,2018-02-10,CC Migos Featuring Gucci Mane
551,52,,Notice Me,Migos Featuring Post Malone,2018-02-10,Notice Me Migos Featuring Post Malone
563,64,,White Sand,"Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean",2018-02-10,"White Sand Migos Featuring Travis Scott, Ty Dolla $ign & Big Sean"
6,7,o,MotorSport,"Migos, Nicki Minaj & Cardi B",2018-01-06,"MotorSport Migos, Nicki Minaj & Cardi B"
40,41,,Sky Walker,Miguel Featuring Travis Scott,2018-01-06,Sky Walker Miguel Featuring Travis Scott
7553,54,,Mother's Daughter,Miley Cyrus,2019-06-15,Mother's Daughter Miley Cyrus
3199,100,,Drunk Me,Mitchell Tenpenny,2018-08-11,Drunk Me Mitchell Tenpenny
2775,76,,Kiss Somebody,Morgan Evans,2018-07-14,Kiss Somebody Morgan Evans
6284,85,,Whiskey Glasses,Morgan Wallen,2019-03-16,Whiskey Glasses Morgan Wallen
1385,86,,Up Down,Morgan Wallen Featuring Florida Georgia Line,2018-04-07,Up Down Morgan Wallen Featuring Florida Georgia Line
5680,81,,Pure Water,Mustard & Migos,2019-02-02,Pure Water Mustard & Migos
48,49,,Lemon,N*E*R*D & Rihanna,2018-01-06,Lemon N*E*R*D & Rihanna
2595,96,,Cop Shot The Kid,Nas Featuring Kanye West,2018-06-30,Cop Shot The Kid Nas Featuring Kanye West
41,42,,The Christmas Song (Merry Christmas To You),Nat King Cole,2018-01-06,The Christmas Song (Merry Christmas To You) Nat King Cole
694,95,,Criminal,Natti Natasha x Ozuna,2018-02-17,Criminal Natti Natasha x Ozuna
196,97,,Wanted You,NAV Featuring Lil Uzi Vert,2018-01-13,Wanted You NAV Featuring Lil Uzi Vert
6588,89,,Tap,NAV Featuring Meek Mill,2019-04-06,Tap NAV Featuring Meek Mill
6571,72,,Price On My Head,NAV Featuring The Weeknd,2019-04-06,Price On My Head NAV Featuring The Weeknd
2185,86,,Champion,NAV Featuring Travis Scott,2018-06-02,Champion NAV Featuring Travis Scott
16,17,,Let You Down,NF,2018-01-06,Let You Down NF
481,82,,No Name,NF,2018-02-03,No Name NF
3096,97,,Lie,NF,2018-08-04,Lie NF
7569,70,,The Search,NF,2019-06-15,The Search NF
97,98,,Too Much To Ask,Niall Horan,2018-01-06,Too Much To Ask Niall Horan
1582,83,,Barbie Tingz,Nicki Minaj,2018-04-21,Barbie Tingz Nicki Minaj
1591,92,,Chun-Li,Nicki Minaj,2018-04-21,Chun-Li Nicki Minaj
3317,18,,Barbie Dreams,Nicki Minaj,2018-08-25,Barbie Dreams Nicki Minaj
3359,60,,Ganja Burns,Nicki Minaj,2018-08-25,Ganja Burns Nicki Minaj
2542,43,,Bed,Nicki Minaj Featuring Ariana Grande,2018-06-30,Bed Nicki Minaj Featuring Ariana Grande
3357,58,,Majesty,Nicki Minaj Featuring Eminem & Labrinth,2018-08-25,Majesty Nicki Minaj Featuring Eminem & Labrinth
2487,88,,Rich Sex,Nicki Minaj Featuring Lil Wayne,2018-06-23,Rich Sex Nicki Minaj Featuring Lil Wayne
4959,60,,Good Form,Nicki Minaj Featuring Lil Wayne,2018-12-15,Good Form Nicki Minaj Featuring Lil Wayne
3397,98,,Thought I Knew You,Nicki Minaj Featuring The Weeknd,2018-08-25,Thought I Knew You Nicki Minaj Featuring The Weeknd
1079,80,,X,Nicky Jam x J Balvin,2018-03-17,X Nicky Jam x J Balvin
7294,95,,Te Robare,Nicky Jam X Ozuna,2019-05-25,Te Robare Nicky Jam X Ozuna
6664,65,,Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,2019-04-13,Double Up Nipsey Hussle Featuring Belly & DOM KENNEDY
6692,93,,Dedication,Nipsey Hussle Featuring Kendrick Lamar,2019-04-13,Dedication Nipsey Hussle Featuring Kendrick Lamar
6643,44,,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,2019-04-13,Racks In The Middle Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
6799,100,,Victory Lap,Nipsey Hussle Featuring Stacy Barthe,2019-04-20,Victory Lap Nipsey Hussle Featuring Stacy Barthe
6681,82,,Last Time That I Checc'd,Nipsey Hussle Featuring YG,2019-04-13,Last Time That I Checc'd Nipsey Hussle Featuring YG
6995,96,,Shotta Flow,NLE Choppa,2019-05-04,Shotta Flow NLE Choppa
6048,49,,Red Room,Offset,2019-03-02,Red Room Offset
6185,86,,Lick,Offset,2019-03-09,Lick Offset
52,53,,Ric Flair Drip,Offset & Metro Boomin,2018-01-06,Ric Flair Drip Offset & Metro Boomin
6163,64,,Clout,Offset Featuring Cardi B,2019-03-09,Clout Offset Featuring Cardi B
6164,65,,How Did I Get Here,Offset Featuring J. Cole,2019-03-09,How Did I Get Here Offset Featuring J. Cole
6148,49,,Legacy,Offset Featuring Travis Scott & 21 Savage,2019-03-09,Legacy Offset Featuring Travis Scott & 21 Savage
85,86,,Written In The Sand,Old Dominion,2018-01-06,Written In The Sand Old Dominion
2792,93,,Hotel Key,Old Dominion,2018-07-14,Hotel Key Old Dominion
5397,98,,Make It Sweet,Old Dominion,2019-01-12,Make It Sweet Old Dominion
3571,72,,Unica,Ozuna,2018-09-08,Unica Ozuna
7691,92,,Amor Genuino,Ozuna,2019-06-22,Amor Genuino Ozuna
591,92,,El Farsante,Ozuna & Romeo Santos,2018-02-10,El Farsante Ozuna & Romeo Santos
51,52,,La Modelo,Ozuna x Cardi B,2018-01-06,La Modelo Ozuna x Cardi B
7068,69,,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,2019-05-11,Baila Baila Baila Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA
3793,94,,Vaina Loca,Ozuna x Manuel Turizo,2018-09-22,Vaina Loca Ozuna x Manuel Turizo
47,48,,What About Us,P!nk,2018-01-06,What About Us P!nk
294,95,,Beautiful Trauma,P!nk,2018-01-20,Beautiful Trauma P!nk
4489,90,,A Million Dreams,P!nk,2018-11-10,A Million Dreams P!nk
6153,54,,Walk Me Home,P!nk,2019-03-09,Walk Me Home P!nk
7095,96,,Love Me Anyway,P!nk Featuring Chris Stapleton,2019-05-11,Love Me Anyway P!nk Featuring Chris Stapleton
1359,60,,Say Amen (Saturday Night),Panic! At The Disco,2018-04-07,Say Amen (Saturday Night) Panic! At The Disco
2297,98,,High Hopes,Panic! At The Disco,2018-06-09,High Hopes Panic! At The Disco
6895,96,,"Hey Look Ma, I Made It",Panic! At The Disco,2019-04-27,"Hey Look Ma, I Made It Panic! At The Disco"
3991,92,,Backin' It Up,Pardison Fontaine Featuring Cardi B,2018-10-06,Backin' It Up Pardison Fontaine Featuring Cardi B
5146,47,,Wonderful Christmastime,Paul McCartney,2018-12-29,Wonderful Christmastime Paul McCartney
6391,92,,Calma,Pedro Capo X Farruko,2019-03-23,Calma Pedro Capo X Farruko
5140,41,,(There's No Place Like) Home For The Holidays,Perry Como,2018-12-29,(There's No Place Like) Home For The Holidays Perry Como
5141,42,,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,2018-12-29,It's Beginning To Look A Lot Like Christmas Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
2182,83,,Sangria Wine,Pharrell Williams x Camila Cabello,2018-06-02,Sangria Wine Pharrell Williams x Camila Cabello
5331,32,,Baby Shark,Pinkfong,2019-01-12,Baby Shark Pinkfong
1780,81,,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,2018-05-05,Dame Tu Cosita Pitbull x El Chombo x Karol G Featuring Cutty Ranks
2045,46,,Shoota,Playboi Carti Featuring Lil Uzi Vert,2018-05-26,Shoota Playboi Carti Featuring Lil Uzi Vert
498,99,,Rock,Plies,2018-02-03,Rock Plies
7190,91,,Middle Child,PnB Rock & XXXTENTACION,2019-05-18,Middle Child PnB Rock & XXXTENTACION
6594,95,,Pop Out,Polo G Featuring Lil Tjay,2019-04-06,Pop Out Polo G Featuring Lil Tjay
22,23,,Feel It Still,Portugal. The Man,2018-01-06,Feel It Still Portugal. The Man
15,16,,I Fall Apart,Post Malone,2018-01-06,I Fall Apart Post Malone
49,50,,Candy Paint,Post Malone,2018-01-06,Candy Paint Post Malone
1806,7,,Better Now,Post Malone,2018-05-12,Better Now Post Malone
1810,11,,Paranoid,Post Malone,2018-05-12,Paranoid Post Malone
1813,14,,Rich & Sad,Post Malone,2018-05-12,Rich & Sad Post Malone
1816,17,,Stay,Post Malone,2018-05-12,Stay Post Malone
1822,23,,Zack And Codeine,Post Malone,2018-05-12,Zack And Codeine Post Malone
1823,24,,Over Now,Post Malone,2018-05-12,Over Now Post Malone
1828,29,,Takin' Shots,Post Malone,2018-05-12,Takin' Shots Post Malone
1839,40,,92 Explorer,Post Malone,2018-05-12,92 Explorer Post Malone
1845,46,,Otherside,Post Malone,2018-05-12,Otherside Post Malone
1846,47,,Blame It On Me,Post Malone,2018-05-12,Blame It On Me Post Malone
1856,57,,Sugar Wraith,Post Malone,2018-05-12,Sugar Wraith Post Malone
1872,73,,Jonestown (Interlude),Post Malone,2018-05-12,Jonestown (Interlude) Post Malone
5246,47,,Wow.,Post Malone,2019-01-05,Wow. Post Malone
4308,9,,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2018-11-03,Sunflower (Spider-Man: Into The Spider-Verse) Post Malone & Swae Lee
1,2,O,Rockstar,Post Malone Featuring 21 Savage,2018-01-06,Rockstar Post Malone Featuring 21 Savage
1819,20,,Same Bitches,Post Malone Featuring G-Eazy & YG,2018-05-12,Same Bitches Post Malone Featuring G-Eazy & YG
1815,16,,Ball For Me,Post Malone Featuring Nicki Minaj,2018-05-12,Ball For Me Post Malone Featuring Nicki Minaj
1814,15,,Spoil My Night,Post Malone Featuring Swae Lee,2018-05-12,Spoil My Night Post Malone Featuring Swae Lee
901,2,,Psycho,Post Malone Featuring Ty Dolla $ign,2018-03-10,Psycho Post Malone Featuring Ty Dolla $ign
2264,65,,Infrared,Pusha T,2018-06-09,Infrared Pusha T
2272,73,,If You Know You Know,Pusha T,2018-06-09,If You Know You Know Pusha T
2299,100,,The Games We Play,Pusha T,2018-06-09,The Games We Play Pusha T
2274,75,,What Would Meek Do?,Pusha T Featuring Kanye West,2018-06-09,What Would Meek Do? Pusha T Featuring Kanye West
3371,72,,W O R K I N M E,Quavo,2018-08-25,W O R K I N M E Quavo
4285,86,,Biggest Alley Oop,Quavo,2018-10-27,Biggest Alley Oop Quavo
4292,93,,Huncho Dreams,Quavo,2018-10-27,Huncho Dreams Quavo
79,80,,Ice Tray,Quavo & Lil Yachty,2018-01-06,Ice Tray Quavo & Lil Yachty
4260,61,,Pass Out,Quavo Featuring 21 Savage,2018-10-27,Pass Out Quavo Featuring 21 Savage
4247,48,,Flip The Switch,Quavo Featuring Drake,2018-10-27,Flip The Switch Quavo Featuring Drake
4299,100,,Lose It,Quavo Featuring Lil Baby,2018-10-27,Lose It Quavo Featuring Lil Baby
4287,88,,Rerun,Quavo Featuring Travis Scott,2018-10-27,Rerun Quavo Featuring Travis Scott
4532,33,,Bohemian Rhapsody,Queen,2018-11-17,Bohemian Rhapsody Queen
1444,45,,Medicine,Queen Naija,2018-04-14,Medicine Queen Naija
2762,63,,Karma,Queen Naija,2018-07-14,Karma Queen Naija
1075,76,,Powerglide,Rae Sremmurd & Juicy J,2018-03-17,Powerglide Rae Sremmurd & Juicy J
1797,98,,Close,Rae Sremmurd & Travis Scott,2018-05-05,Close Rae Sremmurd & Travis Scott
2076,77,,Me Niego,Reik Featuring Ozuna & Wisin,2018-05-26,Me Niego Reik Featuring Ozuna & Wisin
761,62,,Plug Walk,Rich The Kid,2018-02-24,Plug Walk Rich The Kid
5598,99,,Splashin,Rich The Kid,2019-01-26,Splashin Rich The Kid
574,75,,New Freezer,Rich The Kid Featuring Kendrick Lamar,2018-02-10,New Freezer Rich The Kid Featuring Kendrick Lamar
6090,91,,There Was This Girl,Riley Green,2019-03-02,There Was This Girl Riley Green
7198,99,,Die Young,Roddy Ricch,2019-05-18,Die Young Roddy Ricch
61,62,,Yours,Russell Dickerson,2018-01-06,Yours Russell Dickerson
3476,77,,Blue Tacoma,Russell Dickerson,2018-09-01,Blue Tacoma Russell Dickerson
2197,98,,Downtown's Dead,Sam Hunt,2018-06-02,Downtown's Dead Sam Hunt
7,8,x,Too Good At Goodbyes,Sam Smith,2018-01-06,Too Good At Goodbyes Sam Smith
5532,33,,Dancing With A Stranger,Sam Smith & Normani,2019-01-26,Dancing With A Stranger Sam Smith & Normani
6454,55,,Numb Numb Juice,ScHoolboy Q,2019-03-30,Numb Numb Juice ScHoolboy Q
7084,85,,CHopstix,ScHoolboy Q + Travis Scott,2019-05-11,CHopstix ScHoolboy Q + Travis Scott
7066,67,,Floating,ScHoolboy Q Featuring 21 Savage,2019-05-11,Floating ScHoolboy Q Featuring 21 Savage
748,49,,X,"ScHoolboy Q, 2 Chainz & Saudi",2018-02-24,"X ScHoolboy Q, 2 Chainz & Saudi"
88,89,,Five More Minutes,Scotty McCreery,2018-01-06,Five More Minutes Scotty McCreery
5095,96,,This Is It,Scotty McCreery,2018-12-22,This Is It Scotty McCreery
7699,100,,Otro Trago,Sech Featuring Darell,2019-06-22,Otro Trago Sech Featuring Darell
2049,50,,Back To You,Selena Gomez,2018-05-26,Back To You Selena Gomez
28,29,,Wolves,Selena Gomez X Marshmello,2018-01-06,Wolves Selena Gomez X Marshmello
7598,99,,Trampoline,SHAED,2019-06-15,Trampoline SHAED
1271,72,,In My Blood,Shawn Mendes,2018-03-31,In My Blood Shawn Mendes
7101,2,,If I Can't Have You,Shawn Mendes,2019-05-18,If I Can't Have You Shawn Mendes
1964,65,,Youth,Shawn Mendes Featuring Khalid,2018-05-19,Youth Shawn Mendes Featuring Khalid
1363,64,,Lost In Japan,Shawn Mendes X Zedd,2018-04-07,Lost In Japan Shawn Mendes X Zedd
3581,82,,Mo Bamba,Sheck Wes,2018-09-08,Mo Bamba Sheck Wes
3795,96,,Electricity,Silk City x Dua Lipa,2018-09-22,Electricity Silk City x Dua Lipa
4980,81,,Foot Fungus,Ski Mask The Slump God,2018-12-15,Foot Fungus Ski Mask The Slump God
6199,100,,Faucet Failure,Ski Mask The Slump God,2019-03-09,Faucet Failure Ski Mask The Slump God
4962,63,,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,2018-12-15,Nuketown Ski Mask The Slump God Featuring Juice WRLD
766,67,,Paramedic!,SOB X RBE,2018-02-24,Paramedic! SOB X RBE
199,100,,Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",2018-01-13,"Best Friend Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno"
4488,89,,Waste It On Me,Steve Aoki Featuring BTS,2018-11-10,Waste It On Me Steve Aoki Featuring BTS
1771,72,,Babe,Sugarland Featuring Taylor Swift,2018-05-05,Babe Sugarland Featuring Taylor Swift
6186,87,,Girls Need Love,Summer Walker X Drake,2019-03-09,Girls Need Love Summer Walker X Drake
1683,84,,Guatemala,Swae Lee Featuring Slim Jxmmi,2018-04-28,Guatemala Swae Lee Featuring Slim Jxmmi
32,33,,The Weekend,SZA,2018-01-06,The Weekend SZA
1099,100,,Broken Clocks,SZA,2018-03-17,Broken Clocks SZA
7091,92,,Power Is Power,"SZA, The Weeknd & Travis Scott",2019-05-11,"Power Is Power SZA, The Weeknd & Travis Scott"
4453,54,,Last Memory,TakeOff,2018-11-10,Last Memory TakeOff
4598,99,,Casper,TakeOff,2018-11-17,Casper TakeOff
195,96,,When We,Tank,2018-01-13,When We Tank
63,64,,The Race,Tay-K,2018-01-06,The Race Tay-K
60,61,,...Ready For It?,Taylor Swift,2018-01-06,...Ready For It? Taylor Swift
65,66,,Look What You Made Me Do,Taylor Swift,2018-01-06,Look What You Made Me Do Taylor Swift
1183,84,,Delicate,Taylor Swift,2018-03-24,Delicate Taylor Swift
7701,2,,You Need To Calm Down,Taylor Swift,2019-06-29,You Need To Calm Down Taylor Swift
6999,100,,ME!,Taylor Swift Featuring Brendon Urie,2019-05-04,ME! Taylor Swift Featuring Brendon Urie
39,40,,End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-01-06,End Game Taylor Swift Featuring Ed Sheeran & Future
2512,13,,Apes**t,The Carters,2018-06-30,Apes**t The Carters
2576,77,,Boss,The Carters,2018-06-30,Boss The Carters
2583,84,,Summer,The Carters,2018-06-30,Summer The Carters
2594,95,,Nice,The Carters,2018-06-30,Nice The Carters
2598,99,,Friends,The Carters,2018-06-30,Friends The Carters
464,65,,Sick Boy,The Chainsmokers,2018-02-03,Sick Boy The Chainsmokers
1299,100,,Everybody Hates Me,The Chainsmokers,2018-03-31,Everybody Hates Me The Chainsmokers
7566,67,,Call You Mine,The Chainsmokers & Bebe Rexha,2019-06-15,Call You Mine The Chainsmokers & Bebe Rexha
5955,56,,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,2019-02-23,Who Do You Love The Chainsmokers Featuring 5 Seconds Of Summer
3186,87,,Side Effects,The Chainsmokers Featuring Emily Warren,2018-08-11,Side Effects The Chainsmokers Featuring Emily Warren
3973,74,,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,2018-10-06,This Feeling The Chainsmokers Featuring Kelsea Ballerini
5040,41,,Sleigh Ride,The Ronettes,2018-12-22,Sleigh Ride The Ronettes
1403,4,,Call Out My Name,The Weeknd,2018-04-14,Call Out My Name The Weeknd
1425,26,,Try Me,The Weeknd,2018-04-14,Try Me The Weeknd
1426,27,,Wasted Times,The Weeknd,2018-04-14,Wasted Times The Weeknd
1451,52,,Privilege,The Weeknd,2018-04-14,Privilege The Weeknd
606,7,,Pray For Me,The Weeknd & Kendrick Lamar,2018-02-17,Pray For Me The Weeknd & Kendrick Lamar
1434,35,,I Was Never There,The Weeknd Featuring Gesaffelstein,2018-04-14,I Was Never There The Weeknd Featuring Gesaffelstein
1442,43,,Hurt You,The Weeknd Featuring Gesaffelstein,2018-04-14,Hurt You The Weeknd Featuring Gesaffelstein
44,45,,Marry Me,Thomas Rhett,2018-01-06,Marry Me Thomas Rhett
2691,92,,Life Changes,Thomas Rhett,2018-07-07,Life Changes Thomas Rhett
4690,91,,Sixteen,Thomas Rhett,2018-11-24,Sixteen Thomas Rhett
6251,52,,Look What God Gave Her,Thomas Rhett,2019-03-16,Look What God Gave Her Thomas Rhett
